📁 ИНФОРМАЦИЯ О КАТЕГОРИИ,,,,,
"Театральный бинокль-лорнет Levenhuk Broadway 325E, красный",81862,5990.0,Да,361505141,false
"Театральный бинокль-лорнет Levenhuk Broadway 325E, серебристый",81863,5990.0,Да,361505142,false
"Театральный бинокль-лорнет Levenhuk Broadway 325E, белый",81861,5990.0,Да,361505143,false
"Театральный бинокль-лорнет Levenhuk Broadway 325E, золотистый",83056,5990.0,Да,439220267,false
,,,,,
,,,,,
,,,,,
⚙️ ДОПОЛНИТЕЛЬНЫЕ ПОЛЯ КАТЕГОРИИ,,,,,
,,,,,
H1:,Театральные бинокли,,,,
Доставка и оплата:,(пусто),,,,
Блок ссылок сверху:,(пусто),,,,
Блок ссылок:,"<ul>
<li><a href=""https://binokl.shop/collection/binokli-lornet"" title=""Бинокли-лорнеты (с ручкой)""...",,,,
Иконка для меню:,(пусто),,,,
Параметры товаров (через точку с запятой):,(пусто),,,,
Товары и категории (популярные):,(пусто),,,,
Видеообзор:,(пусто),,,,
Раздел в меню:,Назначение,,,,
ID товаров через запятую:,(пусто),,,,
Название для региональных страниц:,Для театра,,,,
Показывать Официального дилера?:,(пусто),,,,
Баннер 1 изображение:,(пусто),,,,
Баннер 1 мобильное изображение:,(пусто),,,,
Баннер 1 ссылка:,(пусто),,,,
Баннер 2 изображение:,(пусто),,,,
Баннер 2 мобильное изображение:,(пусто),,,,
Баннер 2 ссылка:,(пусто),,,,
Вертикальный баннер - Изображение:,(пусто),,,,
Вертикальный баннер - Мобильное изображение:,(пусто),,,,
Вертикальный баннер - ссылка:,(пусто),,,,
Скрыть категорию в слайдере?:,(пусто),,,,
Скрыть категорию в меню?:,Да,,,,
Скрыть категорию в списке?:,(пусто),,,,
noindex:,(пусто),,,,
,,,,,
,,,,,
,,,,,
🏷️ ПЛИТКА ТЕГОВ - ВЕРХНЯЯ (над описанием категории),,,,,
Инструкция:,"Эта плитка отображается ПЕРЕД описанием категории. Заполните таблицу, система автоматически конвертирует в HTML.",,,,
,,,,,
Текст ссылки,URL,Целевая категория,Примечание,,
,,,,,
Лорнеты (с ручкой),https://binokl.shop/collection/binokli-lornet,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
🏷️ ПЛИТКА ТЕГОВ - НИЖНЯЯ (под описанием категории),,,,,
Инструкция:,Эта плитка отображается ПОСЛЕ описания категории. Можно добавить вручную.,,,,
,,,,,
Текст ссылки,URL,Целевая категория,Примечание,,
Бинокли-лорнеты (с ручкой),https://binokl.shop/collection/binokli-lornet,,,,
Маленькие,https://binokl.shop/collection/kompaktnye-roof,,,,
Недорогие,https://binokl.shop/collection/nedorogie,,,,
Складные,https://binokl.shop/collection/binokli-skladnye,,,,
Бинокли производства Россия,https://binokl.shop/collection/rossiyskie,,,,
Бинокли производства Германия,https://binokl.shop/collection/nemetskie-binokli,,,,
Аксессуары для биноклей,https://binokl.shop/collection/aksessuary,,,,
Футляры,https://binokl.shop/product/futlyar-veber-dlya-teatralnogo-binoklya,,,,
